3,5,1.6,0.2,LongEaredOwl
3.2,4.7,1.6,0.2,LongEaredOwl
3.4,4.6,1.4,0.3,LongEaredOwl
3.6,5,1.4,0.2,LongEaredOwl
4.1,5.2,1.5,0.1,LongEaredOwl
3,4.9,1.4,0.2,LongEaredOwl
3.3,5.1,1.7,0.5,LongEaredOwl
3.4,4.8,1.6,0.2,LongEaredOwl
3.7,5.1,1.5,0.4,LongEaredOwl
3.1,4.9,1.5,0.1,LongEaredOwl
3.6,4.6,1,0.2,LongEaredOwl
3.9,5.4,1.7,0.4,LongEaredOwl
3,4.3,1.1,0.1,LongEaredOwl
2.9,4.4,1.4,0.2,LongEaredOwl
3.4,5,1.5,0.2,LongEaredOwl
3.5,5.1,1.4,0.2,LongEaredOwl
3.2,5,1.2,0.2,LongEaredOwl
3.8,5.1,1.9,0.4,LongEaredOwl
3,4.8,1.4,0.3,LongEaredOwl
4.2,5.5,1.4,0.2,LongEaredOwl
3.7,5.4,1.5,0.2,LongEaredOwl
3,4.8,1.4,0.1,LongEaredOwl
3.3,5,1.4,0.2,LongEaredOwl
3.2,4.7,1.3,0.2,LongEaredOwl
3.5,5.1,1.4,0.3,LongEaredOwl
3.4,4.8,1.9,0.2,LongEaredOwl
3.4,5.4,1.5,0.4,LongEaredOwl
3.8,5.1,1.5,0.3,LongEaredOwl
3,4.4,1.3,0.2,LongEaredOwl
3.5,5,1.3,0.3,LongEaredOwl
3.5,5,1.6,0.6,LongEaredOwl
3.9,5.4,1.3,0.4,LongEaredOwl
3.1,4.6,1.5,0.2,LongEaredOwl
3.8,5.7,1.7,0.3,LongEaredOwl
4,5.8,1.2,0.2,LongEaredOwl
3.7,5.3,1.5,0.2,LongEaredOwl
3.4,5,1.6,0.4,LongEaredOwl
3.2,4.4,1.3,0.2,LongEaredOwl
3.4,5.4,1.7,0.2,LongEaredOwl
3.2,4.6,1.4,0.2,LongEaredOwl
3.5,5.5,1.3,0.2,LongEaredOwl
3.1,4.8,1.6,0.2,LongEaredOwl
3.1,4.9,1.5,0.1,LongEaredOwl
3.4,5.2,1.4,0.2,LongEaredOwl
2.3,4.5,1.3,0.3,LongEaredOwl
2.8,6.4,5.6,2.1,SnowyOwl
3.2,6.4,5.3,2.3,SnowyOwl
2.8,6.2,4.8,1.8,SnowyOwl
2.5,6.3,5,1.9,SnowyOwl
3,6.1,4.9,1.8,SnowyOwl
3.3,6.3,6,2.5,SnowyOwl
2.6,7.7,6.9,2.3,SnowyOwl
2.7,6.3,4.9,1.8,SnowyOwl
2.5,4.9,4.5,1.7,SnowyOwl
3,5.9,5.1,1.8,SnowyOwl
3.1,6.4,5.5,1.8,SnowyOwl
3.8,7.7,6.7,2.2,SnowyOwl
3.4,6.2,5.4,2.3,SnowyOwl
3.2,6.8,5.9,2.3,SnowyOwl
3.1,6.9,5.1,2.3,SnowyOwl
3,6.8,5.5,2.1,SnowyOwl
3.3,6.7,5.7,2.5,SnowyOwl
3.2,6.9,5.7,2.3,SnowyOwl
3,7.6,6.6,2.1,SnowyOwl
2.8,6.4,5.6,2.2,SnowyOwl
2.2,6,5,1.5,SnowyOwl
2.9,7.3,6.3,1.8,SnowyOwl
3,7.1,5.9,2.1,SnowyOwl
3,7.2,5.8,1.6,SnowyOwl
3,6,4.8,1.8,SnowyOwl
2.8,5.6,4.9,2,SnowyOwl
2.9,6.3,5.6,1.8,SnowyOwl
2.7,5.8,5.1,1.9,SnowyOwl
2.7,5.8,5.1,1.9,SnowyOwl
2.5,6.7,5.8,1.8,SnowyOwl
2.8,6.3,5.1,1.5,SnowyOwl
3.3,6.7,5.7,2.1,SnowyOwl
3.2,7.2,6,1.8,SnowyOwl
2.5,5.7,5,2,SnowyOwl
3.4,6.3,5.6,2.4,SnowyOwl
3.1,6.9,5.4,2.1,SnowyOwl
3,6.5,5.2,2,SnowyOwl
3,7.7,6.1,2.3,SnowyOwl
2.8,7.4,6.1,1.9,SnowyOwl
2.8,7.7,6.7,2,SnowyOwl
3.6,7.2,6.1,2.5,SnowyOwl
2.6,6.1,5.6,1.4,SnowyOwl
3,6.7,5.2,2.3,SnowyOwl
3,6.5,5.8,2.2,SnowyOwl
2.7,6.4,5.3,1.9,SnowyOwl
2.7,5.6,4.2,1.3,BarnOwl
3,5.9,4.2,1.5,BarnOwl
3,6.1,4.6,1.4,BarnOwl
2.3,5.5,4,1.3,BarnOwl
2.8,5.7,4.1,1.3,BarnOwl
3,5.6,4.5,1.5,BarnOwl
2.8,6.8,4.8,1.4,BarnOwl
3.1,6.7,4.4,1.4,BarnOwl
2.5,5.5,4,1.3,BarnOwl
2.9,6.2,4.3,1.3,BarnOwl
3.1,6.9,4.9,1.5,BarnOwl
2.4,5.5,3.8,1.1,BarnOwl
2.8,6.1,4.7,1.2,BarnOwl
3,6.7,5,1.7,BarnOwl
2.8,6.1,4,1.3,BarnOwl
2.9,6.4,4.3,1.3,BarnOwl
2.7,6,5.1,1.6,BarnOwl
2.7,5.8,4.1,1,BarnOwl
2.6,5.8,4,1.2,BarnOwl
3,5.7,4.2,1.2,BarnOwl
2.4,5.5,3.7,1,BarnOwl
2.5,5.1,3,1.1,BarnOwl
3.4,6,4.5,1.6,BarnOwl
2.3,5,3.3,1,BarnOwl
2.9,5.7,4.2,1.3,BarnOwl
2.7,5.8,3.9,1.2,BarnOwl
2.6,5.5,4.4,1.2,BarnOwl
2,5,3.5,1,BarnOwl
2.5,5.6,3.9,1.1,BarnOwl
3,5.4,4.5,1.5,BarnOwl
2.3,6.3,4.4,1.3,BarnOwl
2.8,6.5,4.6,1.5,BarnOwl
3,6.6,4.4,1.4,BarnOwl
2.9,6,4.5,1.5,BarnOwl
2.7,5.2,3.9,1.4,BarnOwl
2.5,6.3,4.9,1.5,BarnOwl
3.2,6.4,4.5,1.5,BarnOwl
2.9,6.1,4.7,1.4,BarnOwl
2.9,5.6,3.6,1.3,BarnOwl
2.2,6,4,1,BarnOwl
3.3,6.3,4.7,1.6,BarnOwl
3.1,6.7,4.7,1.5,BarnOwl
2.9,6.6,4.6,1.3,BarnOwl
3,5.6,4.1,1.3,BarnOwl
3.2,5.9,4.8,1.8,BarnOwl
